witness_ID;text_ID
10000_72186;Ballade_10000
10001_71827;Ballade_10001
10002_72191;Ballade_10002
10003_72191;Ballade_10003
10004_72191;Rondeau_10004
10005_72191;Ballade_10005
10006_72191;Rondeau_10006
10007_72191;Rondeau_10007
10008_72191;Rondeau_10008
10009_72191;Ballade_10009
10010_72193;Ballade_10010
10011_72193;Ballade_10011
10012_72191;Ballade_10012
10013_72193;Ballade_10013
10014_72191;Ballade_10014
10015_72193;Ballade_10015
10016_71514;Ballade_10016
10017_71514;Ballade_10017
10018_72191;Ballade_10018
10019_72191;Ballade_10019
10021_72191;Ballade_10021
10022_72193;Ballade_10022
10023_72191;Ballade_10023
10024_71514;Ballade_10024
10025_72190;Complainte de Saint Valentin_10025
10026_72188;Rondeau_10026
10027_72188;Rondeau_10027
10028_75905;Prière à Notre Dame_10028
10029_52615;Prière à Jésus Christ_10029
10030_75905;Prière_10030
10031_75905;Prière aux saints_10031
10032_72190;Dialogue de l'amant et de sa dame_10032
10033_75905;Prière à Jésus Christ_10033
10034_75905;Miracle de saint Grégoire_10034
10035_75905;Miracle des messes d'Innocent IV_10035
10036_75905;Messes de saint Grégoire_10036
10037_75905;Méditation sur les sept dons du Saint Esprit_10037
10038_75905;Méditation contre la tentation_10038
10039_80503;Fleur des batailles Doolin de Maience_10039
10041_62954;Recueil de proverbes_10041
10042_45631;Art d'aimer_10042
10045_78573;Dekalogerklärung_10045
10046_48110;Clef d'amour_10046
10047_38993;Dit_10047
10048_78074;Traité_10048
10049_48869;Elucidari_10049
10050_75984;Notes juridiques_10050
10052_83241;Sermones de Communi Sanctorum_10052
10053_71294;Vie de saint Macaire d'Alexandrie_10053
10054_79795;Ballade_10054
10055_71826;Parlement d'Amour_10055
10057_56294;Dame loyale en amour_10057
10059_71828;Faits Maître Alain_10059
10060_69978;Lai de plaisance_10060
10062_69978;Rondeau_10062
10063_81808;Rondeau_10063
10064_81808;Rondeau_10064
10066_76032;Fin de l'homme_10066
10067_50401;Anticlaudianus_10067
10068_77986;Disticha Catonis_10068
10069_44095;Chérubins_10069
10070_76039;Virelai_10070
10071_45562;Enseignement_10071
10072_71345;Vie de saint Magloire_10072
10073_74559;
10074_59858;Prière à saint Main_10074
10075_80603;Vie de saint Malchus_10075
10076_73346;Vie de saint Malchus_10076
10077_8220;Chanson_10077
10078_28929;Divinations_10078
10081_72301;Des animaux_10081
10082_30895;Secrets des philosophes_10082
10085_65918;Liste des rois de France_10085
10086_74483;Livre sur l'enseignement du parler et du taire_10086
10087_65918;Liste des personnages enterrés à Saint-Denis_10087
10088_65266;Livre sur l'enseignement du parler et du taire_10088
10090_71660;Rondeau_10090
10091_71660;Rondeau_10091
10092_71660;Rondeau_10092
10093_45940;Rondeau_10093
10094_60368;Vie et miracles de saint Martin de Tours_10094
10095_45940;Rondeau_10095
10096_66042;Jugement des étoiles_10096
10097_74211;Chronique de la guerre de Frédéric II contre la famille d'Ibelin (1223-1242)_10097
10098_32415;Traité de fauconnerie_10098
10099_63328;Retour du coeur perdu_10099
10100_45620;Mahomet_10100
10101_66075;Rondeaux_10101
10102_45945;Roi de Sicile_10102
10103_21132;Glossaire provençal-italien_10103
10104_72310;Istoire de la Chastelaine du Vergier et de Tristan le Chevalier_10104
10106_45648;Sentences_10106
10107_64979;Savi_10107
10108_76111;"Meditationes vitae Christi, traduction en italien_10108"
10110_55150;Poème_10110
10111_65918;Abrégé des Grandes chroniques de France_10111
10112_76919;Chronique de Charles VII roi de France_10112
10113_40288;Complainte d'Acre_10113
10114_75666;South English Legendary_10114
10117_75304;Gilte Legende_10117
10118_75304;Form of Confession_10118
10119_75304;Treatise of Ghostly Battle_10119
10120_75304;Articles of Excommunication (in Middle English)_10120
10121_73306;Abrégé des Grandes chroniques de France_10121
10122_78462;Mépris de la pompe funèbre_10122
10123_80339;Chronique universelle de la Création à Charles VII_10123
10125_76149;Vie de saint Meloir_10125
10127_65897;Chronique abrégée des rois de France jusqu'à 1215_10127
10128_73500;Chronique anonyme française 1270-1356_10128
10129_72626;Chronique des quatre premiers Valois_10129
10130_72415;Extrait abrégé des Chroniques de France depuis Philippe de Valois_10130
10131_54033;Aventures depuis deux cens ans_10131
10132_72419;Petite chronique très abrégée de l'origine troyenne jusqu'à 1380_10132
10134_42919;Expositions_10134
10135_76158;Pastourelle_10135
10136_76158;Procès du banni du jardin d'amour_10136
10137_65450;Commentaire de prière_10137
10138_5921;Fête de saint Michel_10138
10139_45922;Isopet II de Paris_10139
10140_8149;Chroniques de Gênes_10140
10141_60250;Gloses ou notes en français_10141
10142_76164;Vision délectable_10142
10143_76165;Jugements d'astronomie_10143
10145_81657;Honneurs de la cour_10145
10147_76166;Relation du conclave de 1378_10147
10148_65451;Prière à Notre Dame_10148
10149_65451;Prière à Jésus Christ_10149
10150_65451;Prière à Jésus Christ_10150
10151_65451;Prière à Notre Dame_10151
10152_65451;Prière à Dieu_10152
10153_65451;Prière à Jésus Christ_10153
10154_65451;Prière à Dieu_10154
10155_65451;Prière à Dieu_10155
10157_21843;Complainte malingre_10157
10158_21843;Epître à Pierre de Hauteville_10158
10159_30810;Complainte sur la mort d'Isabelle de Bourbon_10159
10160_72129;Pas de la mort_10160
10161_30029;Evangile de Nicodème_10161
10162_29650;Arflet_10162
10163_81893;Extrait d'un tableau pour connaître de qui vient noblesse_10163
10166_72391;Âme du meunier emportée en enfer_10166
10167_72391;L'aveugle et le boiteux_10167
10170_71929;Voyage de Naples_10170
10171_73296;Li Livres hystorialz abbrigiez que freires Vincens de Beauvaiz de l'ordre des preschours fist_10171
10172_82624;Pénitence Adam_10172
10173_76178;Chronique_10173
10176_76179;Enseignement à Suzanne de Bourbon_10176
10177_35728;Ballade_10177
10178_76180;Journal_10178
10179_45940;Rondeau_10179
10181_45940;Rondeau_10181
10182_71660;Rondeau quatrain_10182
10183_71660;Bergerette double layée_10183
10184_65644;Bible abrégée_10184
10185_65644;Apocalypse_10185
10186_65644;Epître de saint Jacques_10186
10187_65644;Epître de saint Pierre_10187
10188_80111;Proverbes_10188
10190_76182;Miracle de saint Nicolas_10190
10191_35649;Miracle de saint Nicolas_10191
10192_45931;Vie de saint Onuphre_10192
10193_72400;Histoire de la marquise de Saluce_10193
10194_65975;Floridan et Elvide_10194
10195_72343;Journée d'honneur et de prouesse_10195
10196_74696;Sermon_10196
10197_74696;Sur la question du nombre des officiers du roi_10197
10198_74696;Sermon pour le jour de Pâques_10198
10199_74696;Sermon pour le dimanche des Rameaux_10199
10200_74696;Sermon pour le dimanche des Rameaux_10200
10201_74696;Sermon_10201
10202_74696;Sermon_10202
10203_74696;Sermon_10203
10204_74696;Sermon_10204
10206_73784;"Sept sages de Rome, version M_10206"
10207_76183;Enseignement de sapience_10207
10211_73087;Boece de confort_10211
10216_48100;Passion d'Autun_10216
10217_76186;Passion de Jésus Christ_10217
10218_76188;Histoire romaine_10218
10219_76189;Sphère de Pythagore_10219
10222_76196;Economique_10222
10223_76207;Rosaire_10223
10224_76208;Pratique_10224
10225_39377;Teinture_10225
10226_73354;Exempla_10226
10227_42986;Mystère des Actes des Apôtres_10227
10228_73953;Vie de saint Philippe_10228
10229_45620;Vies de saint Pierre et saint Paul_10229
10230_74128;Vie de saint Pierre de Tarentaise_10230
10232_65266;Vie de saint Servais_10232
10233_72194;Vie de saint Servais_10233
10234_81945;Vie de saint Sylvestre_10234
10236_48099;Vie de Simon de Crépy_10236
10238_53911;Lai à la Vierge_10238
10239_72304;Fauconnerie_10239
10240_31281;Recettes médicales et charmes_10240
10241_30666;Novele Cirurgie_10241
10243_80886;Recettes_10243
10246_82751;Recettes médicales diverses_10246
10247_48138;Lucidaire en prose_10247
10249_73897;Vie du saint ermite Renart_10249
10251_45794;Vie de saint Romain de Rouen_10251
10252_76232;Vie de saint Romaric_10252
10253_42921;De l'enfant voué au diable_10253
10255_52055;Vie de saint Tresain_10255
10257_28955;Vie des saints Vit et Modeste_10257
10258_76235;Mystère de sainte Agathe_10258
10259_48548;Vie de saint Yves_10259
10260_1588;Sept psaumes de la pénitence_10260
10261_1588;Méthode de confession_10261
10262_83367;Vie de sainte Barbe_10262
10263_76222;Chronique franciscaine_10263
10264_71286;Légendier G de Meyer_10264
10265_76253;Contemplations_10265
10266_76254;Echelle de Paradis_10266
10269_76256;Commentaire sur les Psaumes_10269
10270_69960;Soliloques_10270
10271_76258;Sermon_10271
